name,weight,italics,angular,artistic,attention-grabbing,attractive,bad,boring,calm,charming,clumsy,complex,cursive,delicate,disorderly,display,dramatic,formal,fresh,friendly,gentle,graceful,happy,italic,legible,modern,playful,pretentious,serif,sharp,sloppy,soft,strong,technical,thin,warm,wide
Acme,,,26.48,32.19,53.55,62.69,13.32,41.52,75.72,64.08,26.8,28.06,4.3,41.28,13.43,7.46,38.43,73.39,91.8,80.55,89.3,61.98,47.21,9.34,89.24,42.18,36.56,42.21,9.43,59.17,20.8,64.95,64.78,34.69,34.05,76.23,45.18
Advent Pro,600,i,32.4,26.56,47.66,46.91,37.05,60.32,82.09,63.36,22.45,27.57,4.3,35.49,25.46,9.72,31.7,66.99,81.68,66.09,82.53,52.55,43.02,9.34,80.1,38.54,32.85,32.11,9.73,67.14,27.88,78.04,53.38,28.78,51.55,55.61,40.3
Aldrich,,,51.45,47.92,49,55.46,45.09,57.87,71.5,54.2,39.68,49.96,4.3,32.45,39.29,19.01,57.03,48.39,81.9,55.58,72.9,56.07,38.71,9.34,75.43,64.51,45.33,42.03,9.89,76.56,31.8,58.85,57.54,51.82,42.38,60.46,53.2
Alegreya,700,i,79.5,70.87,70.27,100,20.39,11.17,71.96,100,27.3,65.96,4.52,42.39,30.34,8.93,68.69,72.02,91.28,84.06,86.68,90.62,81.67,91.83,88.96,75.63,62.65,63.84,85.6,79.38,59.15,72.29,63.21,61.87,35.48,87.06,41.08
AllertaStencil,,,41.24,37.14,56.02,55.45,36.7,45.98,64.3,62.27,40.46,52.85,5.15,27.04,36.89,66.97,57.3,50.91,78.85,62.77,73.47,59.45,37.62,9.34,48.85,66.88,46.94,54.89,8.7,50.69,26.55,60.14,58.81,78.19,40.47,69.36,63.16
Amethysta,,,48.83,21,38.39,47.94,6.71,37.52,86.84,70.93,3.24,15.47,4.24,38.63,9.32,6.57,16.6,94.88,94.63,74.32,95.56,78.48,51.92,9.34,94.9,41.64,19.82,36.67,85.72,96.53,15.72,80.24,56.19,46.3,51.35,49.21,52.91
Anonymous Pro,,,32.3,26.97,23.9,38.13,26.34,74.86,88.14,47.55,12.03,21.88,4.45,41.66,27.87,8.5,25.31,77.03,86.4,72.16,90.3,42.54,21.99,9.34,78.69,35.25,28.15,11.73,72.7,59.07,27.75,84.94,36.24,37.15,68.05,44.73,53.16
Archivo Narrow,,,4.67,14.97,26.7,40.63,23.83,51.75,89.53,50.7,16.66,14.29,4.3,38.16,14.94,7.3,15.39,80.97,84.36,72.51,85.6,52.81,37.14,9.35,82.83,30.33,14.1,16.47,9.43,81.39,19.83,79.53,53.6,17.92,58.14,61.15,37.13
Arimo,700,,24.37,13.31,60.1,64.77,17.04,50.94,70.3,61.67,16,18.56,4.3,28.35,16.86,6.76,28.64,81.34,94.09,75.07,86.36,65.53,41.57,9.34,97.81,35.23,17.69,46.79,9.63,54.26,11.46,60.35,73.52,25.11,27.24,72.27,58.04
Arimo,700,i,51.68,34.05,58.95,68.77,22.69,24.95,74.08,72.63,26.21,35.06,4.38,38.85,26.48,5.93,40.66,63.78,93.68,77.41,85.96,73.71,57.62,91.73,96.05,54,28.29,51.32,11.06,61.58,45.92,62.37,71.84,40.56,30.09,81.97,58.75
Arizonia,,,87.92,91.8,52.27,78.47,56.57,22.96,70.74,99.47,64.54,88.3,84.38,63.41,68.37,74.6,85.48,39.09,78.44,71.23,91.93,82.73,78.43,91.27,33.13,84.75,78.41,66.63,13.59,66.47,100,82.53,29.95,78.41,76.43,55.71,22.2
Arvo,700,,27.86,37.03,61.33,70.08,17.66,64.93,57.64,63.24,33.13,48.1,4.27,24.51,20.85,6.57,47.39,82.11,86.72,66.83,78.91,61,39.51,9.3,80.32,39.88,35.11,48.55,84.11,60.14,20.92,58.21,77,63.83,20.99,82.7,61.1
Arvo,700,i,71.07,57.18,66.98,79.72,40,42.89,51.81,65.91,52.85,61.57,5.33,32,45.6,5.71,59.88,57.24,81.27,65.52,80.48,72.08,45.26,91.73,82.47,57.61,46.49,57.1,84,55.69,60.09,46.35,81.48,67.33,17.86,73.18,62
Arvo,,i,86.86,51.59,55.03,75.69,31.07,23.64,74.82,73.24,30.18,37.27,4.23,43.82,23.75,6.05,42.38,70.44,93.53,75.94,89.13,71.92,56.11,91.73,89.19,54.54,50.53,42.95,81.78,92.56,50.03,68.01,60.36,69.44,41.58,73.65,59.73
Asap,,,25.09,15.07,19.03,49.17,17.8,60.18,84.49,62.29,9.11,20.55,4.3,42.27,17.63,7.89,22.24,79.46,83.73,73.17,88.24,55.92,37.83,9.34,83.18,30.34,24.12,25.36,9.32,83.17,21.37,75.25,52.97,22.27,54.03,64.8,48.08
Asset,,,35.62,43.36,43.66,41.14,71.79,75.37,12.01,22.9,66.34,72.15,5.65,7.31,60.18,70.32,53.84,37.93,44.05,15.06,47.44,23.39,14.6,9.8,14.63,39.09,35.67,44.45,84.56,6.28,40.44,37.41,81.11,20.49,1.08,71.87,77.89
Astloch,700,,52.11,85.05,60.92,53.88,89.3,77.42,39.81,65.11,78.73,91.19,80.78,37.77,100,85.87,91.41,11.12,69.04,46.85,59.48,39.27,43.01,9.28,25.57,71.88,96.79,46.97,5.48,40.34,79.54,62.61,41.17,71.99,49.43,53.53,37.33
Averia Libre,300,i,69.06,38.53,35.6,66.08,20.92,25.14,90.29,70.92,23.93,32.75,5.7,45.61,38.72,70.75,40.86,68.73,87.48,86.56,93.74,74.27,63.33,91.59,80.22,54.39,50.11,37.93,11.84,64.37,49.56,95.12,41.08,59.11,65.99,51.75,41.47
Averia Sans Libre,,i,52.05,35.44,43.08,59.94,21.16,29.89,86.25,68,22.8,27.33,4.35,50.17,26.25,64.85,44.57,70.85,90.16,86.26,93.2,81.12,55.82,91.55,74.33,42.07,51.55,38.26,9.73,75.47,49.83,85.88,50.94,56.87,61.28,67.11,43.96
Averia Serif Libre Italic,,i,63.65,53.7,46.23,78.17,12.43,22.43,86.38,88.21,25.08,32.15,4.51,59.06,27.78,72.58,56.21,74.91,96.76,90.08,99.27,82.7,63.75,91.16,89.36,72.12,53.89,37.52,84.6,77.29,52.73,86.15,50.43,60.73,55.27,78.5,44.61
Bad Script,,,88.39,71.67,47.02,71.13,42.23,13.31,81.03,75.11,49.22,56.88,6.51,62.8,48.42,8.73,81.68,45.15,75.83,87,89.5,82.82,66.2,91.6,58.43,65.16,97.65,45.32,10.93,86.3,78.01,87.91,23.88,63.2,80.49,57.72,37.83
Bentham,,,37.02,41.31,31.85,50.39,13.99,37.62,88.86,62.54,8.4,33.44,4.16,49.24,9.65,7.18,36.35,99.82,93.82,79.03,100,53.91,43.53,9.34,88.85,41.96,27.88,26.45,86.13,82.44,27.49,90.58,41.31,41.83,65.91,55.17,44.27
Bevan,,,32.17,42.79,62.14,62.79,32.95,65.22,55.44,51.96,42.89,50.89,3.78,18.99,33.06,5.46,48.43,57.37,80.17,62.13,74.76,49.04,34.49,9.34,72.59,37.94,30.28,56.74,82.83,52.7,20.82,51.13,93.73,53.86,18.78,73.96,66.42
Bilbo Swash Caps,,,99.25,95.5,38.84,76.65,48.81,18.6,71.61,82.25,62.72,77.34,83.93,64.08,51.89,81.09,85.25,42.51,75.61,72.11,83.82,69.24,63.64,91.66,36.43,86.86,65.15,69.58,81.28,70,78.55,80.33,26.38,80.27,78.91,43.08,21.22
Black Ops One,,,26.4,49.45,71.72,71.68,48.79,64.25,52.69,60.99,48.23,67.02,5.09,21.21,57.13,63.21,63.25,17.76,79.72,50.07,70.66,54.17,39.12,9.32,48.05,80.62,61.7,67.28,9.52,59.45,28.9,41.3,75.48,86.17,5.02,79.38,66.76
Bowlby One SC,,,19.19,24.66,81.98,50.32,58.45,76.97,41.21,56.37,44.98,48.59,4.45,5.52,29.51,14.57,49.56,52.35,69.97,42.75,69.4,35.95,37.7,9.32,67.01,18.72,21.7,62.19,8.76,57.19,21.15,0,100,68.27,7.79,72.17,78.1
Bubbler One,,,51.45,53.75,18.43,27.57,44.56,84.04,89.77,49.93,46.77,38.94,4.3,40.93,45.26,9.33,43.03,60.11,74.69,65.71,87.31,45.19,43.02,9.34,61.28,60.77,39.74,25.26,10.32,59.46,37.03,93.97,24.02,34.25,100,43.8,36.85
