name,angular,artistic,attention-grabbing,attractive,bad,boring,calm,capitals,charming,clumsy,complex,cursive,delicate,disorderly,display,dramatic,formal,fresh,friendly,gentle,graceful,happy,italic,legible,modern,monospace,playful,pretentious,serif,sharp,sloppy,soft,strong,technical,thin,warm,wide
Astloch-Bold,52.11,85.05,60.92,53.88,89.3,77.42,39.81,0,65.11,78.73,91.19,80.78,37.77,100,85.87,91.41,11.12,69.04,46.85,59.48,39.27,43.01,9.28,25.57,71.88,0,96.79,46.97,5.48,40.34,79.54,62.61,41.17,71.99,49.43,53.53,37.33
BilboSwashCaps-Regular,99.25,95.5,38.84,76.65,48.81,18.6,71.61,0,82.25,62.72,77.34,83.93,64.08,51.89,81.09,85.25,42.51,75.61,72.11,83.82,69.24,63.64,91.66,36.43,86.86,0,65.15,69.58,81.28,70,78.55,80.33,26.38,80.27,78.91,43.08,21.22
SonsieOne-Regular,70.7,95.02,100,73.72,53.71,55.21,46.52,0,76.12,75.62,93.55,81.86,27.8,63.98,75.98,91.06,52.94,77.27,64.05,82.85,76.26,66.68,91.45,58.5,73.32,0,68.66,83.77,79.76,32.01,77.05,40.21,77.7,66.98,5.03,84.61,75.91
Parisienne-Regular,92.17,93.23,56.41,78.74,41.38,14.77,67.7,0,85.3,55.09,76.3,84.74,63.05,68.13,75.95,75.35,47.84,81.58,86.46,87.86,86.61,80.16,91.92,48.5,88.83,0,86.13,68.35,8.18,63.07,71.84,91.55,20.2,49.12,80.31,51.21,26.35
Damion,74.8,88.87,64.12,80.33,34.96,21.21,65.04,0,97.37,58.86,78.04,84.46,62.53,49.85,75.52,76.39,56.4,85.64,84.32,85.42,81.74,62.18,91.71,51.23,78.88,0,76.36,78.56,9.86,66.56,83.66,84.32,45.63,84.02,57.72,80.56,33.16
PressStart2P-Regular,23.42,45.51,54.64,18.53,96.2,94.52,0,0,24.27,92.68,82.39,5.7,1.71,74.9,74.96,55.23,0.52,0,0,0,2.59,0,9.3,22.37,24.24,100,55.94,52.34,83.44,0,37.68,25.15,64.26,49.53,19.6,68.83,97.66
Arizonia-Regular,87.92,91.8,52.27,78.47,56.57,22.96,70.74,0,99.47,64.54,88.3,84.38,63.41,68.37,74.6,85.48,39.09,78.44,71.23,91.93,82.73,78.43,91.27,33.13,84.75,0,78.41,66.63,13.59,66.47,100,82.53,29.95,78.41,76.43,55.71,22.2
GreatVibes-Regular,95.05,95.65,59.16,71.06,29.17,16.01,68.1,100,91.26,48.31,85.95,83.45,100,46.25,74,85.99,43.93,76.03,77.84,95.64,87.92,78.15,91.57,56.81,87,0,86.61,68.1,8.73,60.98,83.41,93.91,27.89,79.04,81.37,62.56,22.96
Orbitron-Black,48.16,50.87,64.29,60.29,70.54,70.53,42.19,0,49.66,58.87,72.2,4.3,16.14,57.06,73.85,72.14,35.06,75.09,39.11,68.43,37.32,23.54,9.34,52.37,59.59,0,56.21,58.37,10.11,58.06,29.24,30.36,76.43,67.64,15.32,63.18,66.24
JustAnotherHand-Regular,49.4,63.74,31.68,36.48,89.57,100,65.44,0,56.93,92.63,71.22,6.57,53.11,77.97,72.72,48.2,22.28,58.73,64.98,69.57,46.37,34.12,9.56,18.53,52.56,0,70.6,33.17,10.68,11.47,70.85,66.14,27.95,39.59,71.57,36.36,23.58
Redressed,45.26,81.28,51.94,66.46,21.28,31.34,78.57,0,87.74,37.64,58.67,4.47,62.13,38.78,72.69,68.66,67.3,95.2,80.13,87.94,78.76,79.35,9.4,53.6,72.16,0,69.88,55.81,13.94,70.8,56.44,87.02,41.57,81.85,63.75,71.84,32.92
